,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,aging,gas,Py,provided_data_type,in_reference_data_location,reference,url
823,2,97,7,3,0.0,,3.0,0.372,,,5.7,303.0,700000.0,100000.0,600000.0,600.0,0,,,0.0,289.0,3469.92825022807,permeability,fig 7,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
842,2,103,8,23,0.0,,0.9,,,,,298.0,,,100000.0,,340,50.0,,0.0,289.0,365.76558216,permeance,table S1,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
843,2,104,8,23,0.0,,0.9,,,,,298.0,,,100000.0,,340,50.0,,0.0,289.0,642.77922159,permeance,table S1,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
844,2,105,8,23,0.0,,0.8,,,,,298.0,,,100000.0,,340,50.0,,0.0,289.0,1030.35925432,permeance,table S1,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
848,2,107,8,23,0.0,,0.9,,,,,298.0,,,100000.0,,340,50.0,,0.0,289.0,4303.124496,permeance,table S2,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
849,2,108,8,23,0.0,,0.5,,,,,298.0,,,100000.0,,340,50.0,,0.0,289.0,1225.195169,permeance,table S2,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
850,2,109,8,23,0.0,,0.9,,,,,298.0,,,100000.0,,340,50.0,,0.0,289.0,1965.99000411,permeance,table S2,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
854,2,110,8,23,0.0,,0.7,,,,,298.0,,,100000.0,,340,50.0,,0.0,289.0,1347.09030424156,permeance, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
855,2,111,8,23,0.0,,0.8,,,,,298.0,,,100000.0,,340,50.0,,0.0,289.0,583.314027332928,permeance, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
856,2,112,8,23,0.0,,0.9,,,,,298.0,,,100000.0,,340,50.0,,0.0,289.0,612.379359844075,permeance, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
857,2,113,8,23,0.0,,2.0,,,,,298.0,,,100000.0,,340,50.0,,0.0,289.0,1152.42531139912,permeance, fig 4,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
862,2,114,8,23,0.0,,0.9,,,,,298.0,,,100000.0,,340,50.0,,0.0,289.0,1684.70179542601,permeance, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
863,2,115,8,23,0.0,,0.9,,,,,298.0,,,100000.0,,340,50.0,,0.0,289.0,903.119662192159,permeance, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
864,2,116,8,23,0.0,,0.9,,,,,298.0,,,100000.0,,340,50.0,,0.0,289.0,681.921211882415,permeance, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
865,2,117,8,23,0.0,,0.9,,,,,298.0,,,100000.0,,340,50.0,,0.0,289.0,717.145940900762,permeance, fig 6,WU X et al 2022,https://doi.org/10.1016/j.memsci.2022.120291
