,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,aging,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,gas,Py,provided_data_type,in_reference_data_location,reference,url
313,polymer,EtOH_100 treaded,none,PIM-1,0.0,,125.4,0.372,,759.0,2117.0,2.14,298.0,,,100000.0,,0,,,289.0,2418.0,permeability,table S1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
345,polymer,untreated,none,PIM-1,0.0,,90.0,0.372,,685.0,4.006265,2.14,298.0,,,100000.0,,0,,,289.0,1794.516,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
346,polymer,untreated,none,PIM-1,0.0,,90.0,0.372,,685.0,118.6763,2.14,298.0,,,100000.0,,0,,,289.0,2088.031,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
347,polymer,untreated,none,PIM-1,0.0,,90.0,0.372,,685.0,248.4868,2.14,298.0,,,100000.0,,0,,,289.0,2171.911,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
348,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,0.372,,759.0,7.004888,2.14,298.0,,,100000.0,,0,,,289.0,3792.69,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
349,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,0.372,,759.0,63.15262,2.14,298.0,,,100000.0,,0,,,289.0,3269.442,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
350,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,0.372,,759.0,346.8306,2.14,298.0,,,100000.0,,0,,,289.0,2612.795,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
351,polymer,EtOH_75 treaded,none,PIM-1,0.0,,110.9054,0.372,,759.0,2.793727,2.14,298.0,,,100000.0,,0,,,289.0,2967.348,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
352,polymer,EtOH_75 treaded,none,PIM-1,0.0,,110.9054,0.372,,759.0,27.56215,2.14,298.0,,,100000.0,,0,,,289.0,2726.003,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
353,polymer,EtOH_75 treaded,none,PIM-1,0.0,,110.9054,0.372,,759.0,186.2339,2.14,298.0,,,100000.0,,0,,,289.0,2436.925,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
354,polymer,EtOH_125 treaded,none,PIM-1,0.0,,132.508,0.372,,759.0,4.006265,2.14,298.0,,,100000.0,,0,,,289.0,2211.754,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
355,polymer,EtOH_125 treaded,none,PIM-1,0.0,,132.508,0.372,,759.0,29.09353,2.14,298.0,,,100000.0,,0,,,289.0,2171.911,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
356,polymer,EtOH_125 treaded,none,PIM-1,0.0,,132.508,0.372,,759.0,189.621,2.14,298.0,,,100000.0,,0,,,289.0,2038.03,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
722,polymer,PEI,alumina,glassy,0.0,,,,,,0.0,,303.0,,,100000.0,,340,,,289.0,,permeance,fig 7,MESSAOUD AB et al 2015,http://dx.doi.org/10.1016/j.seppur.2015.04.017
726,MMM,SAPO-34/PEI,alumina,zeolite/glassy,5.0,,1.0,1.085,,48.5,0.0,,303.0,,,100000.0,,340,,,289.0,3.27067284536041,permeance,fig 7,MESSAOUD AB et al 2015,http://dx.doi.org/10.1016/j.seppur.2015.04.017
730,MMM,SAPO-34/PEI,alumina,zeolite/glassy,10.0,,,,,,0.0,,303.0,,,100000.0,,340,,,289.0,,permeance,fig 7,MESSAOUD AB et al 2015,http://dx.doi.org/10.1016/j.seppur.2015.04.017
756,MMM,HOF-30/matrimid5218,none,HOF/glassy,10.0,,15.0,0.394,,389.0,0.0,2.01,298.0,,,100000.0,50.0,364,50.0,,289.0,432.8,permeability,table S3,LI W et al 2022,https://doi.org/10.1016/j.memsci.2021.120021
769,CMS,CMS at 973 K,none,PEK-C,0.0,70.0,60.0,0.575,0.026,94.0,0.0,,303.0,10000.0,,,10.0,340,2.0,,289.0,5262.0,permeability,table 3,XU R et al 2020,https://doi.org/10.1016/j.jechem.2020.03.008
773,CMS,CMS at 1073 K,none,PEK-C,0.0,70.0,60.0,0.575,0.029,106.0,0.0,,303.0,10000.0,,,10.0,340,2.0,,289.0,3701.0,permeability,table 3,XU R et al 2020,https://doi.org/10.1016/j.jechem.2020.03.008
777,CMS,CMS at 1173 K,none,PEK-C,0.0,70.0,60.0,0.575,0.019,70.0,0.0,,303.0,10000.0,,,10.0,340,2.0,,289.0,2919.0,permeability,table 3,XU R et al 2020,https://doi.org/10.1016/j.jechem.2020.03.008
799,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,87.99999999999994,0.0,5.7,303.0,200000.0,100000.0,100000.0,600.0,0,,,289.0,3508.3151687789,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
800,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,87.99999999999994,0.0,5.7,323.0,200000.0,100000.0,100000.0,600.0,0,,,289.0,3527.87833816727,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
801,zeolite,SSZ-13 ,alfa-alumina tubes,SSZ-13,0.0,,3.0,0.372,,87.99999999999994,0.0,5.7,353.0,200000.0,100000.0,100000.0,600.0,0,,,289.0,3729.61186258627,permeability,fig 4,AYDANI A et al 2021,https://doi.org/10.1016/j.seppur.2020.117796
